No.,Player,Position,Debut,Raw-Birth-Data,BirthPlace,County,Province,Country
625,Patrick Berkery,FB,"v Wales Lansdowne Road, 13 Mar 1954","Born
February 3, 1929, Clonmel
   ",Clonmel,Tipperary,Munster,Republic of Ireland
626,Herbert McCracken,SH,"v Wales Lansdowne Road, 13 Mar 1954","Born
July 8, 1927, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
627,Marney Cunningham,F,"v France Lansdowne Road, 22 Jan 1955","Born
June 23, 1933, Cork
   ",Cork,Cork,Munster,Republic of Ireland
628,William O'Connell,L,"v France Lansdowne Road, 22 Jan 1955","Born
April 22, 1930, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
629,Patrick O'Donoghue,P,"v France Lansdowne Road, 22 Jan 1955","Born
November 22, 1931, Dun Laoghaire, Dublin
   ",Dun Laoghaire,Dublin,Leinster,Republic of Ireland
630,Tony O'Reilly,C,"v France Lansdowne Road, 22 Jan 1955","Born
May 7, 1936, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
631,William Tector,FB,"v France Lansdowne Road, 22 Jan 1955","Born
April 16, 1929, Clonroche, Co Wexford
   ",Clonroche,Wexford,Leinster,Republic of Ireland
632,Mick Madden,L,"v England Lansdowne Road, 12 Feb 1955","Born
November 24, 1929, Cork
   ",Cork,Cork,Munster,Republic of Ireland
633,Dick Roche,W,"v England Lansdowne Road, 12 Feb 1955","Born
February 22, 1930, Woodford, Co Galway
   ",Woodford,Galway,Connaught,Republic of Ireland
634,Sean McDermott,SH,"v Scotland Murrayfield, 26 Feb 1955","Born
March 28, 1932, Kinsale
   ",Kinsale,Cork,Munster,Republic of Ireland
635,David MacSweeney,F,"v Scotland Murrayfield, 26 Feb 1955","Born
January 26, 1930, Cappoquin, Co Waterford
   ",Cappoquin,Waterford,Munster,Republic of Ireland
636,George Ross,N8,"v Wales Cardiff, 12 Mar 1955","Born
November 1, 1925, Portadown, Northern Ireland
   ",Portadown,Down,Ulster,Northern Ireland
637,Cecil Fagan,P,"v France Colombes, 28 Jan 1956","Born
April 23, 1927, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
638,Adrian Kennedy,N8,"v France Colombes, 28 Jan 1956","Born
November 4, 1932, Londonderry, Northern Ireland
   ",Derry,Derry,Ulster,Northern Ireland
639,Jimmy McKelvey,FB,"v France Colombes, 28 Jan 1956","Born
April 2, 1933, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
640,Andy Mulligan,SH,"v France Colombes, 28 Jan 1956","Born
February 4, 1936, Kasauli, India
   ",Kasauli,Unkown,Unknown,India
641,Sean Quinlan,W,"v France Colombes, 28 Jan 1956","Born
October 13, 1934, Cork
   ",Cork,Cork,Munster,Republic of Ireland
642,James Ritchie,F,"v France Colombes, 28 Jan 1956","Born
December 11, 1926, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
643,Noel Feddis,F,"v England Twickenham, 11 Feb 1956","Born
December 29, 1932, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
644,Brendan Guerin,L,"v Scotland Lansdowne Road, 25 Feb 1956","Born
January 2, 1930, Cappoquin, Waterford
   ",Cappoquin,Waterford,Munster,Republic of Ireland
645,Charlie Lydon,F,"v Scotland Lansdowne Road, 25 Feb 1956","Born
August 31, 1931, Lecanvey, Westport
   ",Westport,Mayo,Connaught,Republic of Ireland
646,Leo Lynch,L,"v Scotland Lansdowne Road, 25 Feb 1956","Born
May 7, 1930, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
647,Timothy McGrath,N8,"v Wales Lansdowne Road, 10 Mar 1956","Born
October 3, 1933, Cork
   ",Cork,Cork,Munster,Republic of Ireland
648,Niall Brophy,W,"v France Lansdowne Road, 26 Jan 1957","Born
November 19, 1935, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
649,Hubert O'Connor,F,"v France Lansdowne Road, 26 Jan 1957","Born
September 2, 1933, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
650,Tony O'Sullivan,N8,"v France Lansdowne Road, 26 Jan 1957","Born
June 2, 1933, Galway
   ",Galway,Galway,Connaught,Republic of Ireland
651,James Brennan,P,"v Scotland Murrayfield, 23 Feb 1957","Born
August 22, 1934, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
652,Ronnie Dawson,H,"v Australia Lansdowne Road, 18 Jan 1958","Born
June 5, 1932, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
653,James Donaldson,F,"v Australia Lansdowne Road, 18 Jan 1958","Born
September 16, 1936, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
654,Dave Hewitt,C,"v Australia Lansdowne Road, 18 Jan 1958","Born
September 9, 1939, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
655,Bill Mulcahy,L,"v Australia Lansdowne Road, 18 Jan 1958","Born
January 7, 1935, Rathkeale, Limerick
   ",Rathkeale,Limerick,Munster,Republic of Ireland
656,Noel Murphy,F,"v Australia Lansdowne Road, 18 Jan 1958","Born
February 22, 1937, Cork
   ",Cork,Cork,Munster,Republic of Ireland
657,James Stevenson,L,"v Australia Lansdowne Road, 18 Jan 1958","Born
August 28, 1928, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
658,Michael English,FH,"v Wales Lansdowne Road, 15 Mar 1958","Born
June 2, 1933, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
659,Eric Brown,F,"v France Colombes, 19 Apr 1958","Born
September 6, 1930, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
660,Dion Glass,C,"v France Colombes, 19 Apr 1958","Born
May 15, 1934, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
661,Syd Millar,P,"v France Colombes, 19 Apr 1958","Born
May 23, 1934, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
662,Gerry Culliton,L,"v England Lansdowne Road, 14 Feb 1959","Born
June 15, 1936, Clonaslee, Laois
   ",Clonaslee,Laois,Leinster,Republic of Ireland
663,John Dooley,C,"v England Lansdowne Road, 14 Feb 1959","Born
August 10, 1934, Galway
   ",Galway,Galway,Connaught,Republic of Ireland
664,Kevin Flynn,C,"v France Lansdowne Road, 18 Apr 1959","Born
March 20, 1939, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
665,Walter Bornemann,W,"v England Twickenham, 13 Feb 1960","Born
January 19, 1936, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
666,Tom Kiernan,FB,"v England Twickenham, 13 Feb 1960","Born
January 7, 1939, Cork
   ",Cork,Cork,Munster,Republic of Ireland
667,Barton McCallan,H,"v England Twickenham, 13 Feb 1960","Born
July 18, 1936, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
668,Jerry Walsh,C,"v Scotland Lansdowne Road, 27 Feb 1960","Born
November 3, 1938, Cork
   ",Cork,Cork,Munster,Republic of Ireland
669,Locky Butler,H,"v Wales Lansdowne Road, 12 Mar 1960","Born
October 9, 1935, Bray
   ",Bray,Wicklow,Leinster,Republic of Ireland
670,Paddy Costello,L,"v France Colombes, 9 Apr 1960","Born
August 18, 1931, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
671,William Armstrong,FH,"v South Africa Lansdowne Road, 17 Dec 1960","Born
October 22, 1931, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
672,Ronald McCarten,W,"v England Lansdowne Road, 11 Feb 1961","Born
August 6, 1935, Seaton, Cumberland, England
   ",Seaton,Unkown,Unknown,England
673,Jonathan Moffett,SH,"v England Lansdowne Road, 11 Feb 1961","Born
April 30, 1937, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
674,Ian Dick,L,"v Wales Cardiff, 11 Mar 1961","Born
January 26, 1937, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
675,Tom Nesdale,F,"v France Lansdowne Road, 15 Apr 1961","Born
August 18, 1933, Cork
   ",Cork,Cork,Munster,Republic of Ireland
676,Dennis Scott,F,"v France Lansdowne Road, 15 Apr 1961","Born
November 19, 1933, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
677,Kenneth Houston,C,"v South Africa Cape Town, 13 May 1961","Born
July 20, 1941, ?
   ",Unknown,Unkown,Unknown,Unknown
678,Jimmy Dick,H,"v England Twickenham, 10 Feb 1962","Born
October 24, 1939, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
679,Francis Gilpin,FH,"v England Twickenham, 10 Feb 1962","Born
October 20, 1940, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
680,Michael Hipwell,N8,"v England Twickenham, 10 Feb 1962","Born
July 15, 1940, Bagenalstown, Carlow
   ",Carlow,Carlow,Leinster,Republic of Ireland
681,Ray Hunter,C,"v England Twickenham, 10 Feb 1962","Born
April 3, 1938, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
682,Laurence l'Estrange,W,"v England Twickenham, 10 Feb 1962","Born
November 1, 1934, Lytham, Lancashire, England
   ",Lytham,Unkown,Unknown,England
683,Willie-John McBride,L,"v England Twickenham, 10 Feb 1962","Born
June 6, 1940, Toomebridge, Antrim, Northern Ireland
   ",Toomebridge,Antrim,Ulster,Northern Ireland
684,Ray McLoughlin,P,"v England Twickenham, 10 Feb 1962","Born
August 24, 1939, Ballinasloe
   ",Ballinasloe,Galway,Connaught,Republic of Ireland
685,John Quirke,SH,"v England Twickenham, 10 Feb 1962","Born
June 26, 1944, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
686,Noel Turley,F,"v England Twickenham, 10 Feb 1962","Born
December 13, 1936, Co Laois
   ",Unknown,Laois,Leinster,Republic of Ireland
687,Gerald Hardy,FH,"v Scotland Lansdowne Road, 24 Feb 1962","Born
March 29, 1937, Omeath, Co Louth
   ",Omeath,Louth,Leinster,Republic of Ireland
688,Noel Byrne,W,"v France Colombes, 14 Apr 1962","Born
December 18, 1938, Curragh, Co Kildare
   ",Kildare,Kildare,Leinster,Republic of Ireland
689,James Kelly,SH,"v France Colombes, 14 Apr 1962","Born
April 8, 1940, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
690,Patrick Dwyer,P,"v Wales Lansdowne Road, 17 Nov 1962","Born
May 24, 1940, Clonee, Co Galway
   ",Galway,Galway,Connaught,Republic of Ireland
691,Matthew Kiely,F,"v Wales Lansdowne Road, 17 Nov 1962","Born
circa 1934, ?
   ",Unknown,Unkown,Unknown,Unknown
692,Mick O'Callaghan,P,"v Wales Lansdowne Road, 17 Nov 1962","Born
circa 1936, Montenotte, Cork
   ",Cork,Cork,Munster,Republic of Ireland
693,Patrick Casey,W,"v France Lansdowne Road, 26 Jan 1963","Born
August 4, 1941, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
694,John Murray,FH,"v France Lansdowne Road, 26 Jan 1963","Born
April 3, 1942, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
695,Eamonn McGuire,F,"v England Lansdowne Road, 9 Feb 1963","Born
June 28, 1939, Galway
   ",Galway,Galway,Connaught,Republic of Ireland
696,Brian Marshall,FB,"v England Lansdowne Road, 9 Feb 1963","Born
July 25, 1940
   ",Unknown,Unkown,Unknown,Unknown
697,Alan Duggan,W,"v New Zealand Lansdowne Road, 7 Dec 1963","Born
June 11, 1942, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
698,John Fortune,W,"v New Zealand Lansdowne Road, 7 Dec 1963","Born
December 1, 1933, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
699,Mike Gibson,FH,"v England Twickenham, 8 Feb 1964","Born
December 3, 1942, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
700,Fergus Keogh,FB,"v Wales Lansdowne Road, 7 Mar 1964","Born
June 28, 1939, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
701,Paddy Lane,H,"v Wales Lansdowne Road, 7 Mar 1964","Born
September 7, 1934, Parteen, Co Clare
   ",Parteen,Clare,Munster,Republic of Ireland
702,Mick Leahy,L,"v Wales Lansdowne Road, 7 Mar 1964","Born
June 6, 1935, Woodford, Co Galway
   ",Woodford,Galway,Connaught,Republic of Ireland
703,Al Moroney,P,"v Wales Lansdowne Road, 7 Mar 1964","Born
July 27, 1941, Kilmihil, Co Clare
   ",Kilmihil,Clare,Munster,Republic of Ireland
704,Mick Doyle,F,"v France Lansdowne Road, 23 Jan 1965","Born
October 13, 1941, Castleisland
   ",Castleisland,Kerry,Munster,Republic of Ireland
705,Ken Kennedy,H,"v France Lansdowne Road, 23 Jan 1965","Born
May 10, 1941, Rochester, Kent, England
   ",Rochester,Unkown,Unknown,England
706,Ronnie Lamont,N8,"v France Lansdowne Road, 23 Jan 1965","Born
November 18, 1941, Co Antrim, Northern Ireland
   ",Antrim,Antrim,Ulster,Northern Ireland
707,Sean MacHale,P,"v France Lansdowne Road, 23 Jan 1965","Born
April 6, 1936, Ballina
   ",Ballina,Mayo,Connaught,Republic of Ireland
708,Roger Young,SH,"v France Lansdowne Road, 23 Jan 1965","Born
June 29, 1943, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
709,Paddy McGrath,W,"v England Lansdowne Road, 13 Feb 1965","Born
August 20, 1941, Burma, Myanmar
   ",Unknown,Unkown,Unknown,Burma
710,Henry Wall,N8,"v Scotland Murrayfield, 27 Feb 1965","Born
December 1, 1935, Cork
   ",Cork,Cork,Munster,Republic of Ireland
711,Mick Molloy,L,"v France Colombes, 29 Jan 1966","Born
September 27, 1944, Cornamona, Galway
   ",Galway,Galway,Connaught,Republic of Ireland
712,Barry Bresnihan,C,"v England Twickenham, 12 Feb 1966","Born
March 13, 1944, Waterford
   ",Waterford,Waterford,Munster,Republic of Ireland
713,Aidan Brady,H,"v Scotland Lansdowne Road, 26 Feb 1966","Born
October 16, 1939, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
714,Oliver Waldron,L,"v Scotland Lansdowne Road, 26 Feb 1966","Born
July 11, 1943, Cork
   ",Cork,Cork,Munster,Republic of Ireland
715,Ken Goodall,N8,"v Australia Lansdowne Road, 21 Jan 1967","Born
February 23, 1947, Leeds, England
   ",Leeds,Unkown,Unknown,England
716,Philo O'Callaghan,P,"v Australia Lansdowne Road, 21 Jan 1967","Born
March 25, 1946, Cork
   ",Cork,Cork,Munster,Republic of Ireland
717,Harry Rea,C,"v Australia Lansdowne Road, 21 Jan 1967","Born
March 18, 1946, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
718,Brendan Sherry,SH,"v Australia Lansdowne Road, 21 Jan 1967","Born
June 7, 1943, Cork
   ",Cork,Cork,Munster,Republic of Ireland
719,Robert Scott,W,"v England Lansdowne Road, 11 Feb 1967","Born
October 2, 1941, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
720,Sam Hutton,P,"v Scotland Murrayfield, 25 Feb 1967","Born
circa 1940, ?
   ",Unknown,Unkown,Unknown,Unknown
721,Terry Moore,N8,"v Australia Sydney, 13 May 1967","Born
April 29, 1945, Cork
   ",Cork,Cork,Munster,Republic of Ireland
722,Billy McCombe,FH,"v France Colombes, 27 Jan 1968","Born
February 6, 1949, Kampala, Uganda
   ",Kampala,Unkown,Unknown,Uganda
723,Brian O'Brien,C,"v France Colombes, 27 Jan 1968","Born
July 5, 1939, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
724,Thomas Doyle,F,"v England Twickenham, 10 Feb 1968","Born
June 9, 1944, Castleisland
   ",Castleisland,Kerry,Munster,Republic of Ireland
725,Laurence Hunter,C,"v Wales Lansdowne Road, 9 Mar 1968","Born
October 10, 1943, Dunmurry, Antrim, Northern Ireland
   ",Antrim,Antrim,Ulster,Northern Ireland
726,John Moroney,W,"v Wales Lansdowne Road, 9 Mar 1968","Born
October 28, 1945, Cloheen, Tipperary
   ",Tipperary,Tipperary,Munster,Republic of Ireland
727,Jim Tydings,W,"v Australia Lansdowne Road, 26 Oct 1968","Born
June 26, 1945, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
728,James Davidson,F,"v France Lansdowne Road, 25 Jan 1969","Born
October 23, 1942, Armagh, Northern Ireland
   ",Armagh,Armagh,Ulster,Northern Ireland
729,Barry McGann,FH,"v France Lansdowne Road, 25 Jan 1969","Born
May 28, 1948, ?
   ",Unknown,Unkown,Unknown,Unknown
730,Colin Grimshaw,(SH),"v England Lansdowne Road, 8 Feb 1969","Born
March 20, 1947, ?
   ",Unknown,Unkown,Unknown,Unknown
731,William Brown,W,"v South Africa Lansdowne Road, 10 Jan 1970","Born
August 19, 1943, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
732,Eric Campbell,L,"v South Africa Lansdowne Road, 10 Jan 1970","Born
December 12, 1942, Tullow, Carlow
   ",Tullow,Carlow,Leinster,Republic of Ireland
733,Fergus Slattery,F,"v South Africa Lansdowne Road, 10 Jan 1970","Born
February 12, 1949, Dun Laoghaire, Dublin
   ",Dun Laoghaire,Dublin,Leinster,Republic of Ireland
734,Edwin Grant,W,"v France Lansdowne Road, 30 Jan 1971","Born
April 13, 1946, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
735,Denis Hickie,N8,"v France Lansdowne Road, 30 Jan 1971","Born
February 13, 1976, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
736,Sean Lynch,P,"v France Lansdowne Road, 30 Jan 1971","Born
September 22, 1942, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
737,Barry O'Driscoll,(FB),"v France Lansdowne Road, 30 Jan 1971","Born
September 18, 1943, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
738,Con Feighery,L,"v France Colombes, 29 Jan 1972","Born
August 13, 1946, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
739,Tom Grace,W,"v France Colombes, 29 Jan 1972","Born
October 24, 1948, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
740,Stewart McKinney,F,"v France Colombes, 29 Jan 1972","Born
November 20, 1946, Strabane, Northern Ireland
   ",Strabane,Tyrone,Ulster,Northern Ireland
741,Arthur McMaster,W,"v France Colombes, 29 Jan 1972","Born
December 2, 1945, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
742,John Moloney,SH,"v France Colombes, 29 Jan 1972","Born
August 27, 1949, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
743,Kevin Mays,L,"v New Zealand Lansdowne Road, 20 Jan 1973","Born
August 9, 1949, London, England
   ",London,Unkown,Unknown,England
744,James Buckley,F,"v England Lansdowne Road, 10 Feb 1973","Born
circa 1944, ?
   ",Unknown,Unkown,Unknown,Unknown
745,Dick Milliken,C,"v England Lansdowne Road, 10 Feb 1973","Born
September 2, 1950, Bangor, Northern Ireland
   ",Bangor,Down,Ulster,Northern Ireland
746,Anthony Ensor,FB,"v Wales Cardiff, 10 Mar 1973","Born
August 17, 1949, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
747,Roger Clegg,P,"v France Lansdowne Road, 14 Apr 1973","Born
December 4, 1948, Bangor, Co Cork
   ",Bangor,Cork,Munster,Republic of Ireland
748,Seamus Dennison,W,"v France Lansdowne Road, 14 Apr 1973","Born
January 26, 1950, Abbeyfeale, Limerick
   ",Abbeyfeale,Limerick,Munster,Republic of Ireland
749,Michael Quinn,FH,"v France Lansdowne Road, 14 Apr 1973","Born
May 31, 1952, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
750,Vinny Becker,W,"v France Parc des Princes, 19 Jan 1974","Born
October 9, 1947, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
751,Moss Keane,L,"v France Parc des Princes, 19 Jan 1974","Born
July 27, 1948, Currow, Co Kerry
   ",Currow,Kerry,Munster,Republic of Ireland
752,Paddy Agnew,(P),"v France Parc des Princes, 19 Jan 1974","Born
March 18, 1942, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
753,Shay Deering,F,"v Wales Lansdowne Road, 2 Feb 1974","Born
August 5, 1948, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
754,Patrick Lavery,W,"v Wales Lansdowne Road, 2 Feb 1974","Born
April 29, 1949, Cheltenham, England
   ",Cheltenham,Unkown,Unknown,England
755,Alan Doherty,(C),"v Pres XV Lansdowne Road, 7 Sep 1974","Born
July 31, 1945, Enniscorthy
   ",Enniscorthy,Wexford,Leinster,Republic of Ireland
756,James Crowe,C,"v New Zealand Lansdowne Road, 23 Nov 1974","Born
November 21, 1952, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
757,Pat Parfrey,W,"v New Zealand Lansdowne Road, 23 Nov 1974","Born
August 12, 1950, Cork
   ",Cork,Cork,Munster,Republic of Ireland
758,Willie Duggan,N8,"v England Lansdowne Road, 18 Jan 1975","Born
March 12, 1950, Kilkenny
   ",Kilkenny,Kilkenny,Leinster,Republic of Ireland
759,Pa Whelan,H,"v England Lansdowne Road, 18 Jan 1975","Born
May 2, 1950, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
760,Michael Sherry,F,"v France Lansdowne Road, 1 Mar 1975","Born
June 21, 1951, Foxford, Co Mayo
   ",Foxford,Mayo,Connaught,Republic of Ireland
761,Ollie Campbell,FH,"v Australia Lansdowne Road, 17 Jan 1976","Born
March 5, 1954, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
762,John Cantrell,H,"v Australia Lansdowne Road, 17 Jan 1976","Born
January 10, 1954, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
763,Ian McIlrath,C,"v Australia Lansdowne Road, 17 Jan 1976","Born
March 10, 1946, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
764,Phelim McLoughlin,P,"v Australia Lansdowne Road, 17 Jan 1976","Born
August 8, 1941, Ballinasloe
   ",Ballinasloe,Galway,Connaught,Republic of Ireland
765,John Robbie,SH,"v Australia Lansdowne Road, 17 Jan 1976","Born
November 17, 1955, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
766,Brendan Foley,L,"v France Parc des Princes, 7 Feb 1976","Born
August 6, 1950, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
767,Philip Orr,P,"v France Parc des Princes, 7 Feb 1976","Born
December 14, 1950, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
768,Donal Canniffe,SH,"v Wales Lansdowne Road, 21 Feb 1976","Born
August 14, 1949, Mullingar
   ",Mullingar,Westmeath,Leinster,Republic of Ireland
769,Ronnie Hakin,L,"v Wales Lansdowne Road, 21 Feb 1976","Born
September 3, 1950, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
770,Lawrence Moloney,(FB),"v Wales Lansdowne Road, 21 Feb 1976","Born
June 14, 1951, Cork
   ",Cork,Cork,Munster,Republic of Ireland
771,Stephen Blake-Knox,W,"v England Twickenham, 6 Mar 1976","Born
July 9, 1948, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
772,Joseph Brady,C,"v England Twickenham, 6 Mar 1976","Born
April 9, 1952, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
773,Harold Steele,N8,"v England Twickenham, 6 Mar 1976","Born
September 4, 1948, Cookstown, Northern Ireland
   ",Cookstown,Tyrone,Ulster,Northern Ireland
774,Christopher McKibbin,(C),"v Scotland Lansdowne Road, 20 Mar 1976","Born
June 24, 1948, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
775,Jimmy Bowen,W,"v Wales Cardiff, 15 Jan 1977","Born
February 11, 1957, Cork
   ",Cork,Cork,Munster,Republic of Ireland
776,Thomas Feighery,P,"v Wales Cardiff, 15 Jan 1977","Born
January 16, 1945, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
777,Robbie McGrath,SH,"v Wales Cardiff, 15 Jan 1977","Born
July 18, 1951, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
778,Alistair McKibbin,C,"v Wales Cardiff, 15 Jan 1977","Born
January 13, 1958, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
779,Frank Wilson,FB,"v Wales Cardiff, 15 Jan 1977","Born
September 1, 1952, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
780,Ned Byrne,P,"v Scotland Murrayfield, 19 Feb 1977","Born
September 14, 1948, Kilkenny
   ",Kilkenny,Kilkenny,Leinster,Republic of Ireland
781,Charles Murtagh,L,"v Scotland Murrayfield, 19 Feb 1977","Born
August 30, 1949, Lurgan, Co Armagh, Northern Ireland
   ",Lurgan,Armagh,Ulster,Northern Ireland
782,Raymond Finn,C,"v France Lansdowne Road, 19 Mar 1977","Born
November 25, 1953, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
783,Freddie McLennan,W,"v France Lansdowne Road, 19 Mar 1977","Born
February 8, 1951, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
784,Mick Fitzpatrick,P,"v Scotland Lansdowne Road, 21 Jan 1978","Born
November 25, 1950, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
785,Paul McNaughton,C,"v Scotland Lansdowne Road, 21 Jan 1978","Born
November 18, 1952, Bray
   ",Bray,Wicklow,Leinster,Republic of Ireland
786,John O'Driscoll,F,"v Scotland Lansdowne Road, 21 Jan 1978","Born
November 26, 1953, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
787,Donal Spring,L,"v Scotland Lansdowne Road, 21 Jan 1978","Born
August 23, 1956, Tralee
   ",Tralee,Kerry,Munster,Republic of Ireland
788,Tony Ward,FH,"v Scotland Lansdowne Road, 21 Jan 1978","Born
October 8, 1954, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
789,Terry Kennedy,W,"v New Zealand Lansdowne Road, 4 Nov 1978","Born
October 19, 1954, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
790,Colin Patterson,SH,"v New Zealand Lansdowne Road, 4 Nov 1978","Born
March 3, 1955, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
791,Michael Gibson,N8,"v France Lansdowne Road, 20 Jan 1979","Born
March 3, 1954, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
792,Ginger McLoughlin,P,"v France Lansdowne Road, 20 Jan 1979","Born
June 11, 1952, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
793,Dick Spring,FB,"v France Lansdowne Road, 20 Jan 1979","Born
August 29, 1950, Tralee
   ",Tralee,Kerry,Munster,Republic of Ireland
794,Colm Tucker,F,"v France Lansdowne Road, 20 Jan 1979","Born
September 22, 1952, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
795,Moss Finn,W,"v England Lansdowne Road, 17 Feb 1979","Born
March 29, 1957, Cork
   ",Cork,Cork,Munster,Republic of Ireland
796,Ron Elliott,FB,"v Scotland Murrayfield, 3 Mar 1979","Born
November 20, 1952, Donaghadee, Down
   ",Donaghadee,Down,Ulster,Northern Ireland
797,Ciaran Fitzgerald,H,"v Australia Brisbane, 3 Jun 1979","Born
June 4, 1952, Galway
   ",Galway,Galway,Connaught,Republic of Ireland
798,Rodney O'Donnell,FB,"v Australia Brisbane, 3 Jun 1979","Born
August 16, 1956, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
