Name,Status,County,Population,Population,Population,Population,Population,Population
Tubbercurry,Census Town,Sligo,"1,069","1,089","1,171","1,421","1,747","1,986"
Tulla,Census Town,Clare,398,382,414,645,662,661
Tullaghan,Census Town,Leitrim,...,...,...,216,228,253
Tullamore,Agglomeration,Offaly,"9,430","10,039","11,098","12,927","14,361","14,607"
Tullow,Census Town,Carlow,"2,424","2,364","2,417","3,048","3,972","4,673"
Tullyallen,Census Town,Louth,393,429,617,"1,036","1,358","1,547"
Tulsk,Census Town,Roscommon,...,...,...,...,195,241
Turlough,Census Town,Mayo,...,...,...,...,272,299
Turloughmore,Census Town,Galway,...,...,...,...,...,240
Twomileborris,Census Town,Tipperary,298,325,474,550,548,572
Tyrrellspass,Census Town,Westmeath,376,396,443,493,506,483
Unionhall,Census Town,Cork,202,206,202,192,252,270
Urlingford,Census Town,Kilkenny,689,689,739,867,973,"1,038"
Villierstown,Census Town,Waterford,...,...,192,260,279,276
Virginia,Census Town,Cavan,720,811,"1,093","1,734","2,282","2,648"
Waterford,Agglomeration,Kilkenny,"41,853","44,155","46,736","49,213","51,519","53,504"
Watergrasshill,Census Town,Cork,250,252,386,860,"1,161","1,346"
Waterville - Spunkane,Census Town,Kerry,463,466,538,546,465,462
Westport,Agglomeration,Mayo,"3,688","4,520","5,634","5,475","6,063","6,198"
Wexford,Agglomeration,Wexford,"15,393","15,862","17,235","18,163","20,072","20,188"
Whitechurch,Census Town,Cork,...,...,...,408,573,665
Whitegate,Census Town,Cork,289,293,440,765,"1,067","1,154"
Whitegate,Census Town,Clare,193,200,193,218,176,168
Wicklow,Agglomeration,Wicklow,"6,215","7,290","9,355","10,070","10,356","10,584"
Williamstown,Census Town,Galway,...,...,...,...,155,148
Woodford,Census Town,Galway,265,298,280,301,282,239
Youghal,Agglomeration,Cork,"5,828","5,943","6,597","6,785","7,794","7,963"
